S.No,Crop,District,Year,Min Temp,Max. Temp,Total Rainfall,Total Yield,Crop_Type,estimated price
1,bengal gram,ADILABAD,2020,12.34,42.66,1130.15,1551,Rabi,75611.25
10,bengal gram,BHADRADRI,2020,16.42,42.65,1145.008696,0,Rabi,0
19,bengal gram,HYDERABAD,2020,17.52,41.88,885.48125,0,Rabi,0
28,bengal gram,JAGTIAL,2020,12.84,43.34,960.3555556,1299,Rabi,63326.25
37,bengal gram,JANGAON,2020,15.99,41.87,978.6769231,1299,Rabi,63326.25
46,bengal gram,JAYASHANKAR,2020,14.45,42.74,1135.705,1299,Rabi,63326.25
55,bengal gram,JOGULAMBA,2020,16.79,42.73,540,657,Rabi,32028.75
64,bengal gram,KAMAREDDY,2020,13.45,42.33,1096.881818,1340,Rabi,65325
73,bengal gram,KARIMNAGAR,2020,14.99,42.86,900.4125,1299,Rabi,63326.25
82,bengal gram,KHAMMAM,2020,17.66,42.25,777.5047619,1299,Rabi,63326.25
91,bengal gram,KOMARAM BHEEM,2020,12.65,42.13,1119.48,1881,Rabi,91698.75
100,bengal gram,MAHABUBABAD,2020,16.19,42.95,938.4625,1299,Rabi,63326.25
109,bengal gram,MAHABUBNAGAR,2020,15.42,42.19,579.4384615,1299,Rabi,63326.25
118,bengal gram,MANCHERIAL,2020,14.15,42.94,1116.6,1299,Rabi,63326.25
127,bengal gram,MEDAK,2020,13.57,42.09,1005.09,1060,Rabi,51675
136,bengal gram,MEDCHAL MALKAJG,2020,15.78,41.72,946.8857143,1299,Rabi,63326.25
145,bengal gram,NAGARKURNOOL,2020,15.79,42.24,543.63,1299,Rabi,63326.25
154,bengal gram,NALGONDA,2020,17.13,42.72,785.216129,1299,Rabi,63326.25
163,bengal gram,NIRMAL,2020,13.39,42.97,1247.821053,1173,Rabi,57183.75
172,bengal gram,NIZAMABAD,2020,13.68,42.79,1252.888889,1558,Rabi,75952.5
181,bengal gram,PEDDAPALLI,2020,14.89,42.81,941.8571429,1299,Rabi,63326.25
190,bengal gram,RAJANNA,2020,13.15,42.95,1018.907692,1299,Rabi,63326.25
199,bengal gram,RANGAREDDY,2020,14.39,41.39,635.7481481,1477,Rabi,72003.75
208,bengal gram,SANGAREDDY,2020,12.83,41.8,942.6538462,1421,Rabi,69273.75
217,bengal gram,SIDDIPET,2020,14.57,41.56,894.1818182,1423,Rabi,69371.25
226,bengal gram,SURYAPET,2020,17.53,42.48,764.6434783,1299,Rabi,63326.25
